 table_schema |           table_name           
--------------+--------------------------------
 public       | auth_group
 public       | auth_group_permissions
 public       | auth_permission
 public       | auth_user
 public       | auth_user_groups
 public       | auth_user_user_permissions
 public       | calendario_club
 public       | calendario_instalacion
 public       | calendario_pista
 public       | categoria
 public       | categoria_equipo
 public       | categoria_jugador
 public       | categoria_pareja
 public       | clase_jugador
 public       | clase_profesor
 public       | club
 public       | configuracion
 public       | contrato
 public       | curso
 public       | dependencia
 public       | destinatario_club
 public       | destinatario_curso
 public       | destinatario_directivo
 public       | destinatario_equipo
 public       | destinatario_instalacion
 public       | destinatario_jugador
 public       | destinatario_operario
 public       | destinatario_pareja
 public       | destinatario_pista
 public       | destinatario_tecnico
 public       | destinatario_torneo_dobles
 public       | destinatario_torneo_equipos
 public       | destinatario_torneo_individual
 public       | directivo
 public       | django_admin_log
 public       | django_content_type
 public       | django_migrations
 public       | django_session
 public       | djf_surveys_answer
 public       | djf_surveys_question
 public       | djf_surveys_survey
 public       | djf_surveys_termsvalidators
 public       | djf_surveys_useranswer
 public       | empleo
 public       | envio
 public       | equipo
 public       | estado_clase
 public       | estado_envio
 public       | estado_inscripcion
 public       | estado_partido
 public       | etapa
 public       | guardian_groupobjectpermission
 public       | guardian_userobjectpermission
 public       | horario_club
 public       | horario_instalacion
 public       | horario_pista
 public       | inscripcion_equipo
 public       | inscripcion_jugador
 public       | inscripcion_pareja
 public       | instalacion
 public       | jet_bookmark
 public       | jet_pinnedapplication
 public       | jugador
 public       | mandato
 public       | material
 public       | matricula_jugador
 public       | membresia
 public       | mensaje
 public       | operario
 public       | pareja
 public       | partido_dobles
 public       | partido_individual
 public       | persona
 public       | pertenencia
 public       | pista
 public       | posesion
 public       | provincia
 public       | ranking_jugador_club
 public       | ranking_jugador_torneo
 public       | ranking_pareja_club
 public       | ranking_pareja_torneo
 public       | rating
 public       | reserva_club
 public       | reserva_curso
 public       | reserva_jugador
 public       | reserva_torneo_dobles
 public       | reserva_torneo_equipos
 public       | reserva_torneo_individual
 public       | tecnico
 public       | tipo_calendario
 public       | tipo_capacitacion
 public       | tipo_competicion
 public       | tipo_contrato
 public       | tipo_curso
 public       | tipo_dependencia
 public       | tipo_diasemanal
 public       | tipo_directivo
 public       | tipo_empleo
 public       | tipo_identificacion
 public       | tipo_lateralidad
 public       | tipo_membresia
 public       | tipo_mensaje
 public       | tipo_pista
 public       | tipo_posesion
 public       | tipo_sexo
 public       | tipo_suelo
 public       | tipo_titulacion
 public       | torneo_dobles
 public       | torneo_equipos
 public       | torneo_individual
(110 filas)

